key,asset_team,well,category,entry_type,well_name_meta,bytes,parse_source,parsed_ref
FP GRIFFIN/FAXEL 2H/Well Information/Facility/IMG_2905.jpg,FP GRIFFIN,FAXEL 2H,Well Information/Facility,Facility Information,FAXEL 2H,880563,unparsed,
FP GRIFFIN/COOMER UNIT 2H/Regulatory/Permits & Filings/423673502200-COOMER_UNIT_2H-Regulatory_Documentation-0018.pdf.PDF,FP GRIFFIN,COOMER UNIT 2H,Regulatory/Permits & Filings,Regulatory Information,COOMER UNIT 2H,537201,unparsed,
FP GRIFFIN/PEIKOFF - PROSPECT CO (SA) 2H/Regulatory/Permits & Filings/422513420700-PEIKOFF_-_PROSPECT_CO._(SA)_2H-Regulatory_Agency_Correspondence-0002.pdf.PDF,FP GRIFFIN,PEIKOFF - PROSPECT CO (SA) 2H,Regulatory/Permits & Filings,Regulatory Information,PEIKOFF - PROSPECT CO (SA) 2H,71057,unparsed,
"FP GRIFFIN/KING JOHN EDWARD 2H/Financial/AFE/422513419100-KING,_JOHN_EDWARD_2H-AFE_Documentation-0001.pdf.pdf",FP GRIFFIN,KING JOHN EDWARD 2H,Financial/AFE,AFE,KING JOHN EDWARD 2H,410459,unparsed,
FP GRIFFIN/MCMAHON 2H/Regulatory/Permits & Filings/424393168200-MCMAHON_2H-TAB_Regulatory-0012..PDF,FP GRIFFIN,MCMAHON 2H,Regulatory/Permits & Filings,Regulatory Information,MCMAHON 2H,920157,unparsed,
FP GRIFFIN/GOODNIGHT SELMA 2H/Logs & Surveys/LWD/GOODNIGHT-SELMA-2H_422513406400_GR_5MD.pdf,FP GRIFFIN,GOODNIGHT SELMA 2H,Logs & Surveys/LWD,LWD Real Time Data,GOODNIGHT SELMA 2H,168664,unparsed,
"FP GRIFFIN/BOLES, VERDIA 3H/Regulatory/Permits & Filings/422513418100-BOLES,_VERDIA_3H-Regulatory_Agency_Correspondence-0001.pdf.PDF",FP GRIFFIN,"BOLES, VERDIA 3H",Regulatory/Permits & Filings,Regulatory Information,"BOLES, VERDIA 3H",36780,unparsed,
"FP GRIFFIN/MADDUX, HENRY GU 4H/Drilling/Programs/423673479800-MADDUX,_HENRY_GU_4H-SORCE-0002.pdf.PDF",FP GRIFFIN,"MADDUX, HENRY GU 4H",Drilling/Programs,Geological Program,"MADDUX, HENRY GU 4H",42581,unparsed,
FP GRIFFIN/KING SISTERS 4H/Well Information/Chronology/422513438200-KING_SISTERS_4H-Operator_Daily_Activity_Reports-0001.pdf.pdf,FP GRIFFIN,KING SISTERS 4H,Well Information/Chronology,Well Chronology,KING SISTERS 4H,161929,unparsed,
"FP GRIFFIN/EDWARDS, C. J. UNIT 1/Regulatory/Permits & Filings/423673405100-EDWARDS,_C._J._UNIT_1-Regulatory_Agency_Correspondence-0002.pdf.PDF",FP GRIFFIN,"EDWARDS, C. J. UNIT 1",Regulatory/Permits & Filings,Regulatory Information,"EDWARDS, C. J. UNIT 1",65176,unparsed,
FP GRIFFIN/HALL BRENDA 1H/Drilling/Directional/HALL-BRENDA-1_422513128200_DIR-SRVY_F.xls,FP GRIFFIN,HALL BRENDA 1H,Drilling/Directional,Deviation Survey,HALL BRENDA 1H,41984,unparsed,
"FP GRIFFIN/ROSS MARY 6H/Production/Reports/422513362300-ROSS,_MARY_6H-Production_or_Injection_Tests-0002.doc.DOC",FP GRIFFIN,ROSS MARY 6H,Production/Reports,Production Information,ROSS MARY 6H,847360,unparsed,
FP GRIFFIN/WHITEHEAD - MCKINNEY (SA) 3H/Drilling/Directional/422513432200-WHITEHEAD_-_MCKINNEY_(SA)_3H-Drilling_Survey_Data-0002.txt.TXT,FP GRIFFIN,WHITEHEAD - MCKINNEY (SA) 3H,Drilling/Directional,Deviation Survey,WHITEHEAD - MCKINNEY (SA) 3H,1082,unparsed,
"FP GRIFFIN/GATLIN WINSTON 4H/Regulatory/Permits & Filings/422513209200-GATLIN,_WINSTON_4H-TAB_Regulatory-0007..PDF",FP GRIFFIN,GATLIN WINSTON 4H,Regulatory/Permits & Filings,Regulatory Information,GATLIN WINSTON 4H,30661,unparsed,
FP GRIFFIN/CHRISTINE'S LUCKY DRAW 7H/Logs & Surveys/LWD/42221318940000.LAS,FP GRIFFIN,CHRISTINE'S LUCKY DRAW 7H,Logs & Surveys/LWD,LWD Real Time Data,CHRISTINE'S LUCKY DRAW 7H,246568,unparsed,
"FP GRIFFIN/TRUSSELL, SPENCER L. 1H/Logs & Surveys/Core/TRUSSELL-SPENCER-L-1H-OR_422513015300_CORE_SEM-58-1.jpg",FP GRIFFIN,"TRUSSELL, SPENCER L. 1H",Logs & Surveys/Core,Core,"TRUSSELL, SPENCER L. 1H",36399,unparsed,
"FP GRIFFIN/TRUSSELL, SPENCER L. 1H/Logs & Surveys/Core/TRUSSELL-SPENCER-L-1H-OR_422513015300_CORE_TS-103-1.jpg",FP GRIFFIN,"TRUSSELL, SPENCER L. 1H",Logs & Surveys/Core,Core,"TRUSSELL, SPENCER L. 1H",134908,unparsed,
FP GRIFFIN/HENCKEN UNIT A FED 8H/Logs & Surveys/LWD/42439350630000.LAS,FP GRIFFIN,HENCKEN UNIT A FED 8H,Logs & Surveys/LWD,LWD Real Time Data,HENCKEN UNIT A FED 8H,383038,unparsed,
"FP GRIFFIN/BOLES, VERDIA 1H/Completions/Frac/422513149200-BOLES,_VERDIA_1H-TAB_Production-0005..PDF",FP GRIFFIN,"BOLES, VERDIA 1H",Completions/Frac,Flow Back Report,"BOLES, VERDIA 1H",23928,unparsed,
FP GRIFFIN/LUMBERMEN B 10H/Well Information/Chronology/424393385400-LUMBERMEN_B_10H-Operator_Daily_Activity_Reports-0026.pdf.PDF,FP GRIFFIN,LUMBERMEN B 10H,Well Information/Chronology,Well Chronology,LUMBERMEN B 10H,1254293,unparsed,
"FP GRIFFIN/MAHAFFEY SUE 5H/Regulatory/Permits & Filings/422513105000-MAHAFFEY,_SUE_5H-TAB_Regulatory-0003..PDF",FP GRIFFIN,MAHAFFEY SUE 5H,Regulatory/Permits & Filings,Regulatory Information,MAHAFFEY SUE 5H,64073,unparsed,
FP GRIFFIN/MCCLANAHAN 1H/Drilling/Directional/422513043400-MCCLANAHAN_1H-Drilling_Survey_Data-0002.las.LAS,FP GRIFFIN,MCCLANAHAN 1H,Drilling/Directional,Deviation Survey,MCCLANAHAN 1H,4991,unparsed,
"FP GRIFFIN/KEITH ELAINE 1H/Production/Well Tests/422513267300-KEITH,_ELAINE_2H-Completion_Reports-0001.pdf.PDF",FP GRIFFIN,KEITH ELAINE 1H,Production/Well Tests,Well Test,KEITH ELAINE 1H,145566,unparsed,
FP GRIFFIN/ELLIS SID 1/Logs & Surveys/Open Hole/ELLIS-SID-1_422513110700_RES_Array-Inducation.tif,FP GRIFFIN,ELLIS SID 1,Logs & Surveys/Open Hole,Open Hole Logs,ELLIS SID 1,1893238,unparsed,
FP GRIFFIN/HILL TOP RANCH 5H/Regulatory/Permits & Filings/AIR CP_111011300_RP_20220428_Stack Test.pdf,FP GRIFFIN,HILL TOP RANCH 5H,Regulatory/Permits & Filings,Regulatory Information,HILL TOP RANCH 5H,217432,unparsed,
FP GRIFFIN/HYDE HICKMAN WEST 1H/Logs & Surveys/Open Hole/HYDE-HICKMAN-WEST-1_424393244300_COMBO_PNS.las,FP GRIFFIN,HYDE HICKMAN WEST 1H,Logs & Surveys/Open Hole,Open Hole Logs,HYDE HICKMAN WEST 1H,1754818,unparsed,
"FP GRIFFIN/PEIKOFF MIKE 4H/Production/Well Tests/422513425300-PEIKOFF,_MIKE_4H-Completion_Reports-0001.pdf.PDF",FP GRIFFIN,PEIKOFF MIKE 4H,Production/Well Tests,Well Test,PEIKOFF MIKE 4H,90807,unparsed,
FP GRIFFIN/BENBROOK UNIT 'C' FED 1H/Production/Well Tests/424393511400-BENBROOK_UNIT_C_FED_1H-Completion_Reports-0002.pdf.PDF,FP GRIFFIN,BENBROOK UNIT 'C' FED 1H,Production/Well Tests,Well Test,BENBROOK UNIT 'C' FED 1H,84554,unparsed,
"FP GRIFFIN/DIKE GLADYS 5H/Drilling/Directional/422513448100-DIKE,_GLADYS_5H-Drilling_Survey_Data-0005.txt.TXT",FP GRIFFIN,DIKE GLADYS 5H,Drilling/Directional,Deviation Survey,DIKE GLADYS 5H,698,unparsed,
FP GRIFFIN/ROSS 1H/Financial/AFE/422513174000-ROSS_1H-TAB_AFE-0001..PDF,FP GRIFFIN,ROSS 1H,Financial/AFE,AFE,ROSS 1H,155939,unparsed,
"FP GRIFFIN/GOODNIGHT SELMA 2H/Financial/AFE/1005504801-GOODNIGHT,_SELMA_2H-WBS-0003.pdf.PDF",FP GRIFFIN,GOODNIGHT SELMA 2H,Financial/AFE,AFE,,,pilot-tierA,s3://formentera-welldrive-derived/runs/pilot/tierA/0000.pdf.json
FP GRIFFIN/LUMBERMEN B 10H/Drilling/BHA & Bits/424393385400-LUMBERMEN_B_10H-BHA_Report-0003.pdf.PDF,FP GRIFFIN,LUMBERMEN B 10H,Drilling/BHA & Bits,BHA,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0006.pdf.json
FP GRIFFIN/CHRISTINE'S LUCKY DRAW 6H/Drilling/Casing & Cement/422213189300-CHRISTINE_S_LUCKY_DRAW_6H-Casing_Reports-0002.pdf.PDF,FP GRIFFIN,CHRISTINE'S LUCKY DRAW 6H,Drilling/Casing & Cement,Casing Tally,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0040.pdf.json
FP GRIFFIN/WHITEHEAD - MCKINNEY (SA) 1H/Financial/AFE/422513432300-WHITEHEAD_-_MCKINNEY_(SA)_1H-AFE_Documentation-0003.pdf.PDF,FP GRIFFIN,WHITEHEAD - MCKINNEY (SA) 1H,Financial/AFE,AFE,,,pilot-tierA,s3://formentera-welldrive-derived/runs/pilot/tierA/0001.pdf.json
FP GRIFFIN/COURTS FEDERAL 1H/Financial/AFE/424393294700-COURTS_FEDERAL_1H-TAB_AFE-0002.pdf.pdf,FP GRIFFIN,COURTS FEDERAL 1H,Financial/AFE,AFE,,,pilot-tierA,s3://formentera-welldrive-derived/runs/pilot/tierA/0002.pdf.json
"FP GRIFFIN/DAVID WILLIAM 8/Financial/AFE/422513253200-DAVID,_WILLIAM_8H-TAB_AFE-0001..PDF",FP GRIFFIN,DAVID WILLIAM 8,Financial/AFE,AFE,,,pilot-tierA,s3://formentera-welldrive-derived/runs/pilot/tierA/0003.pdf.json
"FP GRIFFIN/ATLAS, J. J. 4H/Financial/AFE/422513214700-ATLAS,__J._J._4H-TAB_AFE-0001..PDF",FP GRIFFIN,"ATLAS, J. J. 4H",Financial/AFE,AFE,,,pilot-tierA,s3://formentera-welldrive-derived/runs/pilot/tierA/0004.pdf.json
"FP GRIFFIN/MCMAHON, MARK GU 1H/Financial/AFE/Nonop AFE Cover Letters.pdf",FP GRIFFIN,"MCMAHON, MARK GU 1H",Financial/AFE,AFE,,,pilot-tierA,s3://formentera-welldrive-derived/runs/pilot/tierA/0005.pdf.json
FP GRIFFIN/HYDE HICKMAN B 3H/Drilling/BHA & Bits/424393359300-HYDE_-_HICKMAN_B_3H-BHA_Report-0001.pdf.PDF,FP GRIFFIN,HYDE HICKMAN B 3H,Drilling/BHA & Bits,BHA,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0007.pdf.json
"FP GRIFFIN/KENNON ALFRED 1H/Drilling/BHA & Bits/422513094700-KENNON,_ALFRED_1H-BHA_Report-0001.pdf.pdf",FP GRIFFIN,KENNON ALFRED 1H,Drilling/BHA & Bits,BHA,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0008.pdf.json
FORMENTERA SOUTH TEXAS/WRANGLER-STX-UNIT N731H/Drilling/BHA & Bits/WRANGLER-STX-UNIT N731H - BHA #3 Proposal.pdf,FORMENTERA SOUTH TEXAS,WRANGLER-STX-UNIT N731H,Drilling/BHA & Bits,BHA,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0009.pdf.json
WESTLAKE RESOURCES/FONDA-23-02-BAL N516HF/Drilling/BHA & Bits/FONDA-23-02-BAL N516HF - BHA #1 Surface.pdf,WESTLAKE RESOURCES,FONDA-23-02-BAL N516HF,Drilling/BHA & Bits,BHA,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0010.pdf.json
"FP GRIFFIN/GUTHRIE THOMAS 3H/Drilling/BHA & Bits/422513107200-GUTHRIE,_THOMAS_3H-BHA_Report-0001.pdf.pdf",FP GRIFFIN,GUTHRIE THOMAS 3H,Drilling/BHA & Bits,BHA,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0011.pdf.json
FP GRIFFIN/BAILEY RANCH A 2H/Drilling/Safety & Testing/423673452300-BAILEY_RANCH_GU_A_2H-Surface_Casing_Test-0001.pdf.PDF,FP GRIFFIN,BAILEY RANCH A 2H,Drilling/Safety & Testing,BOP Test,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0012.pdf.json
"FP GRIFFIN/CRYER, DONALD LEE 1/Drilling/Safety & Testing/422513059500-CRYER,_DONALD_LEE_1H-BOP_Test_Reports-0001.pdf.PDF",FP GRIFFIN,"CRYER, DONALD LEE 1",Drilling/Safety & Testing,BOP Test,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0013.pdf.json
FP GRIFFIN/HARDCASTLE UNIT 4H/Drilling/Safety & Testing/Delta Hardcastle 4H BHP.pdf,FP GRIFFIN,HARDCASTLE UNIT 4H,Drilling/Safety & Testing,BOP Test,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0014.pdf.json
WESTLAKE RESOURCES/WILDCAT HOLLOW-16-33-PGN S512HF/Drilling/BHA & Bits/P405WH LateralRunRecap_WILDCAT HOLLOW-16-33-PGN_S512HF_09-Oct-2025.pdf,WESTLAKE RESOURCES,WILDCAT HOLLOW-16-33-PGN S512HF,Drilling/BHA & Bits,Bit Information,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0015.pdf.json
"FP GRIFFIN/HAND MAIREAD 7H/Drilling/BHA & Bits/422513386200-HAND,_MAIREAD_7H-Bit_Record-0001.pdf.PDF",FP GRIFFIN,HAND MAIREAD 7H,Drilling/BHA & Bits,Bit Information,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0016.pdf.json
FP GRIFFIN/LUMBERMEN B 11H/Drilling/BHA & Bits/424393385600-LUMBERMEN_B_11H-Bit_Record-0002.pdf.PDF,FP GRIFFIN,LUMBERMEN B 11H,Drilling/BHA & Bits,Bit Information,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0017.pdf.json
FP GRIFFIN/LUMBERMEN B 4H/Drilling/BHA & Bits/424393384900-LUMBERMEN_B_4H-Bit_Record-0002.pdf.PDF,FP GRIFFIN,LUMBERMEN B 4H,Drilling/BHA & Bits,Bit Information,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0018.pdf.json
"FP GRIFFIN/HICKEY BILLY 2H/Drilling/BHA & Bits/422513094800-HICKEY,_BILLY_2H-Bit_Record-0001.pdf.pdf",FP GRIFFIN,HICKEY BILLY 2H,Drilling/BHA & Bits,Bit Information,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0019.pdf.json
FP GRIFFIN/LUMBERMEN B 3H/Drilling/BHA & Bits/424393384700-LUMBERMEN_B_3H-Bit_Record-0002.pdf.PDF,FP GRIFFIN,LUMBERMEN B 3H,Drilling/BHA & Bits,Bit Information,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0020.pdf.json
FP GRIFFIN/BENBROOK UNIT 'D' FED 3H/Drilling/Casing & Cement/BENBROOK-UNIT-D-FEDERAL-3H_424393511900_CBL.TIF_5479948.TIF,FP GRIFFIN,BENBROOK UNIT 'D' FED 3H,Drilling/Casing & Cement,CBL,,,pilot-failed,
FP GRIFFIN/BENBROOK UNIT 'D' FED 2H/Drilling/Casing & Cement/BENBROOK-UNIT-D-FEDERAL-2H_424393511800_CBL.TIF_5479330.TIF,FP GRIFFIN,BENBROOK UNIT 'D' FED 2H,Drilling/Casing & Cement,CBL,,,pilot-failed,
FP GRIFFIN/BENBROOK UNIT 'D' FED 6H/Drilling/Casing & Cement/BENBROOK-UNIT-D-FEDERAL-6H_424393512500_CBL.TIF_5480058.TIF,FP GRIFFIN,BENBROOK UNIT 'D' FED 6H,Drilling/Casing & Cement,CBL,,,pilot-failed,
FP GRIFFIN/HENCKEN UNIT A FED 8H/Drilling/Casing & Cement/HENCKEN-UNIT-A-FED-8H_424393506300_CBL.pdf,FP GRIFFIN,HENCKEN UNIT A FED 8H,Drilling/Casing & Cement,CBL,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0024.pdf.json
FP GRIFFIN/BENBROOK UNIT 'D' FED 8H/Drilling/Casing & Cement/BENBROOK-UNIT-D-FEDERAL-8H_424393512800_CBL.TIF_5480088.TIF,FP GRIFFIN,BENBROOK UNIT 'D' FED 8H,Drilling/Casing & Cement,CBL,,,pilot-failed,
FP GRIFFIN/BENBROOK UNIT 'A' FED 7H/Drilling/Casing & Cement/BENBROOK-UNIT-A-FEDERAL-7H_424393514100_CBL.PDF_5477668.PDF,FP GRIFFIN,BENBROOK UNIT 'A' FED 7H,Drilling/Casing & Cement,CBL,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0026.pdf.json
WESTLAKE RESOURCES/BULL MOUNTAIN-31-18-DIV S515HF/Financial/Rig Fuel/2026_02_21 Daily Job Report for Job 9994.pdf,WESTLAKE RESOURCES,BULL MOUNTAIN-31-18-DIV S515HF,Financial/Rig Fuel,CNG Rig Fuel,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0027.pdf.json
FORMENTERA SOUTH TEXAS/WRANGLER-STX-UNIT N731H/Financial/Rig Fuel/2026_05_03 Daily Job Report for Job 10448.pdf,FORMENTERA SOUTH TEXAS,WRANGLER-STX-UNIT N731H,Financial/Rig Fuel,CNG Rig Fuel,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0028.pdf.json
WESTLAKE RESOURCES/BULL MOUNTAIN-31-18-DIV S513HF/Financial/Rig Fuel/2026_03_10 Daily Job Report for Job 9994.pdf,WESTLAKE RESOURCES,BULL MOUNTAIN-31-18-DIV S513HF,Financial/Rig Fuel,CNG Rig Fuel,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0029.pdf.json
WESTLAKE RESOURCES/BULL MOUNTAIN-31-18-DIV S611HF/Financial/Rig Fuel/2026_03_18 Daily Job Report for Job 9994.pdf,WESTLAKE RESOURCES,BULL MOUNTAIN-31-18-DIV S611HF,Financial/Rig Fuel,CNG Rig Fuel,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0030.pdf.json
WESTLAKE RESOURCES/BULL MOUNTAIN-31-18-DIV S617HF/Financial/Rig Fuel/2026_02_16 Daily Job Report for Job 9994.pdf,WESTLAKE RESOURCES,BULL MOUNTAIN-31-18-DIV S617HF,Financial/Rig Fuel,CNG Rig Fuel,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0031.pdf.json
WESTLAKE RESOURCES/BULL MOUNTAIN-31-31-DIV N112DW/Financial/Rig Fuel/2026_03_11 Daily Job Report for Job 9994.pdf,WESTLAKE RESOURCES,BULL MOUNTAIN-31-31-DIV N112DW,Financial/Rig Fuel,CNG Rig Fuel,,,pilot-tierC,s3://formentera-welldrive-derived/runs/pilot/tierC/0032.pdf.json
"FP GRIFFIN/ATLAS, J. J. 3R/Logs & Surveys/Cased Hole/ATLAS-J-J-3R_422513323000_GR_5MD.CGM_5482902.CGM",FP GRIFFIN,"ATLAS, J. J. 3R",Logs & Surveys/Cased Hole,Cased Hole Logs,,,pilot-error,
"FP GRIFFIN/ALDRIDGE, JOE 1/Logs & Surveys/Cased Hole/ALDRIDGE-JOE-1_422513022100_RES_12565043.TIF_5481660.TIF",FP GRIFFIN,"ALDRIDGE, JOE 1",Logs & Surveys/Cased Hole,Cased Hole Logs,,,pilot-failed,
"FP GRIFFIN/ATLAS, J. J. 8P/Logs & Surveys/Cased Hole/ATLAS-J-J-8_422513219100_RES.TIF_3882544.TIF",FP GRIFFIN,"ATLAS, J. J. 8P",Logs & Surveys/Cased Hole,Cased Hole Logs,,,pilot-failed,
FP GRIFFIN/BAILEY RANCH 1/Logs & Surveys/Cased Hole/BAILEY-RANCH-1_423673370700_DEN_1.TIF_5483732.TIF,FP GRIFFIN,BAILEY RANCH 1,Logs & Surveys/Cased Hole,Cased Hole Logs,,,pilot-failed,
FP GRIFFIN/ABILENE CHRISTIAN UNIVERSITY UT 1H/Logs & Surveys/Cased Hole/ABILENE-CHRISTIAN-UNIVERSITY-UT-1H_422513198200_GR_MD-COLOR.CGM_5480726.CGM,FP GRIFFIN,ABILENE CHRISTIAN UNIVERSITY UT 1H,Logs & Surveys/Cased Hole,Cased Hole Logs,,,pilot-error,
FP GRIFFIN/HOOPER 5H/Logs & Surveys/Cased Hole/HOOPER-5_422513265900_GR_1.pds,FP GRIFFIN,HOOPER 5H,Logs & Surveys/Cased Hole,Cased Hole Logs,,,pilot-error,
FP GRIFFIN/LUMBERMEN A 8H/Drilling/Casing & Cement/424393356100-LUMBERMEN_A_8H-Casing_Reports-0004.pdf.PDF,FP GRIFFIN,LUMBERMEN A 8H,Drilling/Casing & Cement,Casing Tally,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0039.pdf.json
"FP GRIFFIN/GRADY, JOHN 1H/Drilling/Casing & Cement/422513074400-GRADY,_JOHN_1H-Casing_Reports-0001.pdf.pdf",FP GRIFFIN,"GRADY, JOHN 1H",Drilling/Casing & Cement,Casing Tally,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0041.pdf.json
"FP GRIFFIN/WEBER, JOHN 2H/Drilling/Casing & Cement/422513344100-WEBER,_JOHN_2H-Casing_Reports-0002.pdf.PDF",FP GRIFFIN,"WEBER, JOHN 2H",Drilling/Casing & Cement,Casing Tally,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0042.pdf.json
FP GRIFFIN/HYDE HICKMAN B 4H/Drilling/Casing & Cement/424393359400-HYDE_-_HICKMAN_B_4H-Tubing_Reports-0001.pdf.PDF,FP GRIFFIN,HYDE HICKMAN B 4H,Drilling/Casing & Cement,Casing Tally,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0043.pdf.json
"FP GRIFFIN/MORGAN EDMUND 4H/Drilling/Casing & Cement/422513355600-MORGAN,_EDMUND_4H-Casing_Reports-0001.pdf.PDF",FP GRIFFIN,MORGAN EDMUND 4H,Drilling/Casing & Cement,Casing Tally,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0044.pdf.json
FORMENTERA SOUTH TEXAS/REVIVAL-STX-UNIT-B S736H/Drilling/Programs/Formentera - REVIVAL-STX-UNIT-B S736H - (87567) - (012326) - Production.pdf,FORMENTERA SOUTH TEXAS,REVIVAL-STX-UNIT-B S736H,Drilling/Programs,Cement Program,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0045.pdf.json
FORMENTERA SOUTH TEXAS/WRANGLER-STX-UNIT N732H/Drilling/Programs/Formentera - WRANGLER-STX-UNIT N732H - (87569) - (021126) - Production.pdf,FORMENTERA SOUTH TEXAS,WRANGLER-STX-UNIT N732H,Drilling/Programs,Cement Program,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0046.pdf.json
WESTLAKE RESOURCES/FONDA-23-02-BAL N518HF/Drilling/Programs/Cement Quote - Formentera - Fonda-23-02-BAL N518HF - Surface.pdf,WESTLAKE RESOURCES,FONDA-23-02-BAL N518HF,Drilling/Programs,Cement Program,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0047.pdf.json
FORMENTERA SOUTH TEXAS/HOOEY-STX-UNIT-B N724H/Drilling/Programs/Formentera - HOOEY-STX-UNIT-B N724H - (88873) - (032026) - Surface.pdf,FORMENTERA SOUTH TEXAS,HOOEY-STX-UNIT-B N724H,Drilling/Programs,Cement Program,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0048.pdf.json
WESTLAKE RESOURCES/BULL MOUNTAIN-31-18-DIV S611HF/Drilling/Programs/Cement Quote - Formentera - BULL MOUNTAIN-31-18-DIV S611HF - Liner.pdf,WESTLAKE RESOURCES,BULL MOUNTAIN-31-18-DIV S611HF,Drilling/Programs,Cement Program,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0049.pdf.json
WESTLAKE RESOURCES/FONDA-23-02-BAL N611HF/Drilling/Programs/Cement Quote - Formentera - FONDA-23-02-BAL N611HF - Intermediate.pdf,WESTLAKE RESOURCES,FONDA-23-02-BAL N611HF,Drilling/Programs,Cement Program,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0050.pdf.json
FORMENTERA SOUTH TEXAS/WRANGLER-STX-UNIT N732H/Drilling/Casing & Cement/Formentera - Wrangler-STX-Unit N732H - (55726) - (021326) - Production Lead Bulk.pdf,FORMENTERA SOUTH TEXAS,WRANGLER-STX-UNIT N732H,Drilling/Casing & Cement,Cement Report,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0051.pdf.json
"FP GRIFFIN/HICKEY BILLY 1H/Drilling/Casing & Cement/422513067200-HICKEY,_BILLY_1H-Cementing_Reports-0001.pdf.pdf",FP GRIFFIN,HICKEY BILLY 1H,Drilling/Casing & Cement,Cement Report,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0052.pdf.json
WESTLAKE RESOURCES/MAVERICK-22-10-BND N618H/Drilling/Casing & Cement/Cement Post Job Report - Formentera - MAVERICK-22-10-BND N618H - Surface.pdf,WESTLAKE RESOURCES,MAVERICK-22-10-BND N618H,Drilling/Casing & Cement,Cement Report,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0053.pdf.json
FP GRIFFIN/BUSSEY 2H/Drilling/Casing & Cement/423673499200-BUSSEY_2H-Cementing_Reports-0001.pdf.PDF,FP GRIFFIN,BUSSEY 2H,Drilling/Casing & Cement,Cement Report,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0054.pdf.json
FORMENTERA SOUTH TEXAS/HOOEY-STX-UNIT-C N736H/Drilling/Casing & Cement/Formentera - HOOEY-STX-UNIT-C Pad - (54097) - (032026) - Surface Pilot Tail.pdf,FORMENTERA SOUTH TEXAS,HOOEY-STX-UNIT-C N736H,Drilling/Casing & Cement,Cement Report,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0055.pdf.json
FORMENTERA SOUTH TEXAS/REVIVAL-STX-UNIT-B S736H/Drilling/Casing & Cement/Formentera - REVIVAL-STX-UNIT-B S736H - (55036) - (011526) - Intermediate Stage 2 Tail BB.pdf,FORMENTERA SOUTH TEXAS,REVIVAL-STX-UNIT-B S736H,Drilling/Casing & Cement,Cement Report,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0056.pdf.json
FP GRIFFIN/BENBROOK PERRONE SWD/Completions/Programs & Packets/424393527100-BENBROOK PERRONE SWD 1-Completion Reports-0002.pdf,FP GRIFFIN,BENBROOK PERRONE SWD,Completions/Programs & Packets,Completion Packet,,,pilot-tierB,s3://formentera-welldrive-derived/runs/pilot/tierB/0057.pdf.json
